category,total_videos,median_views,avg_like_rate,avg_days_trend,avg_eng_score
Music,6451,1443369.0,0.047,5.0,0.148
Gaming,811,1494142.0,0.037,5.0,0.142
Comedy,3445,988476.0,0.044,4.0,0.141
Howto & Style,4145,502983.0,0.045,5.0,0.137
People & Blogs,3203,602137.0,0.042,4.0,0.137
Film & Animation,2340,1274359.5,0.027,5.0,0.134
Entertainment,9926,736845.0,0.028,4.0,0.132
Education,1655,419538.0,0.038,4.0,0.132
Science & Technology,2390,589077.5,0.031,5.0,0.13
Pets & Animals,920,444501.5,0.033,5.0,0.13
Shows,57,1155692.0,0.022,8.0,0.128
Travel & Events,400,499402.0,0.021,5.0,0.124
Sports,2166,559748.0,0.015,3.0,0.123
Nonprofits & Activism,57,73649.0,0.038,4.0,0.121
Autos & Vehicles,382,401256.5,0.017,4.0,0.12
News & Politics,2481,245843.0,0.013,3.0,0.113
